S,sigma,T, LT-CV , LT , FD , LSM , GPR , FQI , LSPI 
36,0.2,1, 4.4840 , 4.4845 , 4.4644 ,4.48 (0.02%),4.52 (0.87%),4.38 (-2.37%),4.37 (-2.53%)
36,0.2,2, 4.8501 , 4.8462 , 4.8288 ,4.83 (-0.31%),4.75 (-2.12%),4.85 (0.01%),4.79 (-1.15%)
36,0.4,1, 7.1098 , 7.0997 , 7.0765 ,7.09 (-0.21%),6.86 (-3.53%),6.87 (-3.39%),6.78 (-4.64%)
36,0.4,2, 8.5195 , 8.5079 , 8.4854 ,8.51 (-0.13%),7.93 (-6.95%),7.94 (-6.77%),8.22 (-3.56%)
38,0.2,1, 3.2568 , 3.2529 , 3.2359 ,3.25 (-0.24%),3.19 (-2.08%),3.17 (-2.78%),3.01 (-7.46%)
38,0.2,2, 3.7540 , 3.7482 , 3.7336 ,3.74 (-0.26%),3.57 (-4.99%),3.57 (-4.90%),3.67 (-2.17%)
38,0.4,1, 6.1533 , 6.1805 , 6.1221 ,6.13 (-0.30%),6.16 (0.08%),5.89 (-4.28%),5.86 (-4.73%)
38,0.4,2, 7.6713 , 7.6891 , 7.6456 ,7.69 (0.20%),7.22 (-5.85%),6.89 (-10.13%),7.41 (-3.35%)
40,0.2,1, 2.3245 , 2.3130 , 2.3004 ,2.31 (-0.58%),2.23 (-4.02%),2.25 (-3.08%),2.21 (-4.84%)
40,0.2,2, 2.8965 , 2.8851 , 2.8741 ,2.89 (-0.23%),2.69 (-7.25%),2.55 (-11.94%),2.77 (-4.21%)
40,0.4,1, 5.3260 , 5.3028 , 5.2865 ,5.32 (-0.21%),5.09 (-4.52%),5.08 (-4.68%),5.1 (-4.30%)
40,0.4,2, 6.9351 , 6.9137 , 6.8937 ,6.94 (0.04%),6.3 (-9.09%),6.86 (-1.06%),7.32 (5.51%)
42,0.2,1, 1.6204 , 1.6239 , 1.6051 ,1.62 (-0.10%),1.54 (-4.97%),1.59 (-1.94%),1.6 (-1.13%)
42,0.2,2, 2.2187 , 2.2172 , 2.2029 ,2.23 (0.31%),2.08 (-6.27%),1.85 (-16.70%),2.06 (-7.24%)
42,0.4,1, 4.5884 , 4.6137 , 4.5578 ,4.59 (0.10%),4.22 (-8.00%),4.41 (-3.91%),4.43 (-3.36%)
42,0.4,2, 6.2464 , 6.2643 , 6.2200 ,6.27 (0.38%),5.85 (-6.31%),5.3 (-15.17%),5.96 (-4.63%)
44,0.2,1, 1.1118 , 1.1212 , 1.1005 ,1.12 (0.30%),1.03 (-7.56%),1.13 (1.30%),1.09 (-1.82%)
44,0.2,2, 1.6921 , 1.6973 , 1.6816 ,1.69 (0.17%),1.46 (-13.49%),1.33 (-21.44%),1.47 (-13.36%)
44,0.4,1, 3.9529 , 3.9616 , 3.9243 ,3.96 (0.17%),3.39 (-14.31%),3.86 (-2.29%),3.87 (-1.98%)
44,0.4,2, 5.6511 , 5.6516 , 5.6158 ,5.67 (0.26%),4.57 (-19.05%),4.64 (-17.83%),5.29 (-6.41%)
